,Year,Player,Year Position,Career Position,Age,Ht(inches),Ht.(cm),Wt.(lbs),Wt.(kgs),DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Game,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
18,2008.0,Aaron Gray,C,C,23.0,7-0,213.0,270.0,122.0,98.0,21.0,16.0,168.0,70.0,41.0,262.0,103.0,204.0,0.505,0.505,0.0,1.0,0.0,103.0,203.0,0.507,56.0,99.0,0.5660000000000001,57.0,117.0,61.0,1.0,613.0,CHI,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,13.9
19,2009.0,Aaron Gray,C,C,24.0,7-0,213.0,270.0,122.0,136.0,14.0,18.0,220.0,84.0,46.0,196.0,81.0,167.0,0.485,0.485,0.0,1.0,0.0,81.0,166.0,0.488,34.0,59.0,0.5760000000000001,40.0,135.0,56.0,18.0,715.0,CHI,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,11.5
20,2010.0,Aaron Gray,C,C,25.0,7-0,213.0,270.0,122.0,61.0,9.0,11.0,106.0,45.0,22.0,104.0,42.0,82.0,0.512,0.512,0.0,0.0,,42.0,82.0,0.512,20.0,28.0,0.7140000000000001,18.0,54.0,32.0,0.0,311.0,TOT,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,16.6
21,2010.0,Aaron Gray,C,C,25.0,7-0,213.0,270.0,122.0,11.0,0.0,0.0,16.0,5.0,2.0,18.0,8.0,21.0,0.381,0.381,0.0,0.0,,8.0,21.0,0.381,2.0,7.0,0.28600000000000003,1.0,10.0,8.0,0.0,50.0,CHI,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.0
22,2010.0,Aaron Gray,C,C,25.0,7-0,213.0,270.0,122.0,50.0,9.0,11.0,90.0,40.0,20.0,86.0,34.0,61.0,0.557,0.557,0.0,0.0,,34.0,61.0,0.557,18.0,21.0,0.857,17.0,44.0,24.0,0.0,261.0,NOH,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,18.4
23,2011.0,Aaron Gray,C,C,26.0,7-0,213.0,270.0,122.0,112.0,11.0,12.0,171.0,59.0,16.0,129.0,56.0,99.0,0.5660000000000001,0.5660000000000001,0.0,0.0,,56.0,99.0,0.5660000000000001,17.0,34.0,0.5,32.0,96.0,41.0,6.0,531.0,NOH,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,11.0
24,2012.0,Aaron Gray,C,C,27.0,7-0,213.0,270.0,122.0,198.0,22.0,17.0,281.0,83.0,27.0,191.0,83.0,161.0,0.516,0.516,0.0,0.0,,83.0,161.0,0.516,25.0,47.0,0.532,51.0,127.0,49.0,40.0,813.0,TOR,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,11.1
25,2013.0,Aaron Gray,C,C,28.0,7-0,213.0,270.0,122.0,85.0,7.0,5.0,133.0,48.0,33.0,119.0,48.0,90.0,0.5329999999999999,0.5329999999999999,0.0,0.0,,48.0,90.0,0.5329999999999999,23.0,44.0,0.523,36.0,85.0,42.0,16.0,513.0,TOR,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,9.0
26,2014.0,Aaron Gray,C,C,29.0,7-0,213.0,270.0,122.0,69.0,10.0,8.0,111.0,42.0,22.0,65.0,27.0,61.0,0.44299999999999995,0.44299999999999995,0.0,1.0,0.0,27.0,60.0,0.45,11.0,20.0,0.55,31.0,64.0,37.0,6.0,355.0,TOT,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,7.8
27,2014.0,Aaron Gray,C,C,29.0,7-0,213.0,270.0,122.0,5.0,0.0,0.0,8.0,3.0,3.0,5.0,2.0,3.0,0.667,0.667,0.0,0.0,,2.0,3.0,0.667,1.0,2.0,0.5,4.0,7.0,4.0,0.0,20.0,TOR,1984.0,"December 7, 1984",Tarzana,California,University of Pittsburgh,University of Pittsburgh,5.7
