,Year,Player,Year Position,Career Position,Age,Ht(inches),Ht.(cm),Wt.(lbs),Wt.(kgs),DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Game,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
15,2015.0,Aaron Gordon,PF,F,19.0,6-9,206.0,220.0,99.0,123.0,21.0,22.0,169.0,46.0,33.0,243.0,93.0,208.0,0.447,0.478,13.0,48.0,0.271,80.0,160.0,0.5,44.0,61.0,0.721,38.0,83.0,47.0,8.0,797.0,ORL,1995.0,"September 16, 1995",San Jose,California,University of Arizona,University of Arizona,11.4
16,2016.0,Aaron Gordon,PF,F,20.0,6-9,206.0,220.0,99.0,353.0,59.0,55.0,507.0,154.0,128.0,719.0,274.0,579.0,0.473,0.509,42.0,142.0,0.29600000000000004,232.0,437.0,0.531,129.0,193.0,0.6679999999999999,66.0,153.0,78.0,37.0,1863.0,ORL,1995.0,"September 16, 1995",San Jose,California,University of Arizona,University of Arizona,17.0
17,2017.0,Aaron Gordon,SF,F,21.0,6-9,206.0,220.0,99.0,289.0,64.0,40.0,405.0,116.0,150.0,1019.0,393.0,865.0,0.45399999999999996,0.499,77.0,267.0,0.28800000000000003,316.0,598.0,0.528,156.0,217.0,0.7190000000000001,89.0,172.0,80.0,72.0,2298.0,ORL,1995.0,"September 16, 1995",San Jose,California,University of Arizona,University of Arizona,14.4
54,1995.0,Aaron Swinson,SF,F,24.0,6-5,196.0,230.0,104.0,5.0,1.0,0.0,8.0,3.0,3.0,24.0,10.0,18.0,0.556,0.556,0.0,0.0,,10.0,18.0,0.556,4.0,5.0,0.8,5.0,8.0,9.0,0.0,51.0,PHO,1971.0,"January 9, 1971",Brunswick,Georgia,Auburn University,Auburn University,11.7
55,1994.0,Aaron Williams,PF,F-C,22.0,6-9,206.0,220.0,99.0,2.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,8.0,0.25,0.25,0.0,0.0,,2.0,8.0,0.25,0.0,1.0,0.0,1.0,4.0,6.0,0.0,12.0,UTA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,-7.0
56,1995.0,Aaron Williams,PF,F-C,23.0,6-9,206.0,220.0,99.0,14.0,2.0,6.0,19.0,5.0,0.0,24.0,8.0,24.0,0.33299999999999996,0.33299999999999996,0.0,1.0,0.0,8.0,23.0,0.348,8.0,12.0,0.667,7.0,14.0,15.0,0.0,72.0,MIL,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,7.0
57,1997.0,Aaron Williams,PF-C,F-C,25.0,6-9,206.0,220.0,99.0,81.0,16.0,29.0,143.0,62.0,15.0,203.0,85.0,148.0,0.574,0.574,0.0,1.0,0.0,85.0,147.0,0.578,33.0,49.0,0.6729999999999999,32.0,72.0,33.0,1.0,563.0,TOT,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,16.4
58,1997.0,Aaron Williams,C,F-C,25.0,6-9,206.0,220.0,99.0,3.0,0.0,3.0,5.0,2.0,0.0,6.0,3.0,5.0,0.6,0.6,0.0,0.0,,3.0,5.0,0.6,0.0,0.0,,4.0,0.0,1.0,0.0,10.0,DEN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,19.1
59,1997.0,Aaron Williams,PF,F-C,25.0,6-9,206.0,220.0,99.0,78.0,16.0,26.0,138.0,60.0,15.0,197.0,82.0,143.0,0.573,0.573,0.0,1.0,0.0,82.0,142.0,0.5770000000000001,33.0,49.0,0.6729999999999999,28.0,72.0,32.0,1.0,553.0,VAN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,16.4
60,1998.0,Aaron Williams,PF,F-C,26.0,6-9,206.0,220.0,99.0,99.0,19.0,38.0,147.0,48.0,14.0,296.0,115.0,220.0,0.523,0.523,0.0,1.0,0.0,115.0,219.0,0.525,66.0,85.0,0.7759999999999999,50.0,119.0,65.0,9.0,757.0,SEA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,13.4
61,1999.0,Aaron Williams,PF,F-C,27.0,6-9,206.0,220.0,99.0,74.0,14.0,24.0,128.0,54.0,22.0,158.0,52.0,123.0,0.423,0.423,0.0,1.0,0.0,52.0,122.0,0.426,54.0,74.0,0.73,30.0,75.0,40.0,2.0,458.0,SEA,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.2
62,2000.0,Aaron Williams,PF,F-C,28.0,6-9,206.0,220.0,99.0,250.0,41.0,92.0,409.0,159.0,58.0,616.0,235.0,450.0,0.522,0.522,0.0,3.0,0.0,235.0,447.0,0.526,146.0,201.0,0.726,80.0,234.0,81.0,0.0,1545.0,WAS,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,17.7
63,2001.0,Aaron Williams,PF,F-C,29.0,6-9,206.0,220.0,99.0,379.0,59.0,113.0,590.0,211.0,88.0,838.0,297.0,650.0,0.457,0.457,0.0,2.0,0.0,297.0,648.0,0.45799999999999996,244.0,310.0,0.787,132.0,319.0,82.0,25.0,2336.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.1
64,2002.0,Aaron Williams,PF,F-C,30.0,6-9,206.0,220.0,99.0,224.0,29.0,76.0,339.0,115.0,77.0,592.0,231.0,439.0,0.526,0.526,0.0,2.0,0.0,231.0,437.0,0.529,130.0,186.0,0.6990000000000001,79.0,212.0,82.0,13.0,1546.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,15.2
65,2003.0,Aaron Williams,C,F-C,31.0,6-9,206.0,220.0,99.0,194.0,27.0,57.0,331.0,137.0,88.0,500.0,199.0,439.0,0.45299999999999996,0.45299999999999996,0.0,1.0,0.0,199.0,438.0,0.45399999999999996,102.0,130.0,0.785,85.0,206.0,81.0,0.0,1597.0,NJN,1971.0,"October 2, 1971",Evanston,Illinois,Xavier University,Xavier University,11.9
