,Year,Player,Year Position,Career Position,Age,Ht:ins,Ht:cm,Wt:lbs,Wt:kgs,DRB,STL,BLK,TRB,ORB,AST,PTS,FG,FGA,FG%,eFG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,TOV,Personal Fouls,Games Played,Games Started,Minutes Per Seasom,Team,YearBorn,DOB,Birth State,Birth City,collage,college,Player Rating
0,2008.0,Aaron Brooks,PG,G,23.0,6-0,183.0,161.0,73.0,43.0,13.0,5.0,56.0,13.0,87.0,264.0,93.0,225.0,0.413,0.493,36.0,109.0,0.33,57.0,116.0,0.491,42.0,49.0,0.857,44.0,69.0,51.0,0.0,608.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,13.1
1,2009.0,Aaron Brooks,PG,G,24.0,6-0,183.0,161.0,73.0,124.0,46.0,8.0,157.0,33.0,238.0,894.0,316.0,783.0,0.40399999999999997,0.47600000000000003,113.0,309.0,0.366,203.0,474.0,0.428,149.0,172.0,0.866,125.0,152.0,80.0,35.0,1998.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,12.9
2,2010.0,Aaron Brooks,PG,G,25.0,6-0,183.0,161.0,73.0,161.0,69.0,14.0,215.0,54.0,434.0,1604.0,575.0,1331.0,0.43200000000000005,0.511,209.0,525.0,0.39799999999999996,366.0,806.0,0.45399999999999996,245.0,298.0,0.8220000000000001,232.0,199.0,82.0,82.0,2919.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,16.0
3,2011.0,Aaron Brooks,PG,G,26.0,6-0,183.0,161.0,73.0,58.0,34.0,3.0,78.0,20.0,233.0,634.0,220.0,587.0,0.375,0.434,70.0,236.0,0.297,150.0,351.0,0.42700000000000005,124.0,140.0,0.8859999999999999,99.0,115.0,59.0,12.0,1284.0,TOT,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,13.1
4,2011.0,Aaron Brooks,PG,G,26.0,6-0,183.0,161.0,73.0,40.0,21.0,2.0,51.0,11.0,129.0,394.0,134.0,387.0,0.34600000000000003,0.408,48.0,169.0,0.284,86.0,218.0,0.39399999999999996,78.0,83.0,0.94,55.0,69.0,34.0,7.0,811.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,11.7
5,2011.0,Aaron Brooks,PG,G,26.0,6-0,183.0,161.0,73.0,18.0,13.0,1.0,27.0,9.0,104.0,240.0,86.0,200.0,0.43,0.485,22.0,67.0,0.32799999999999996,64.0,133.0,0.48100000000000004,46.0,57.0,0.807,44.0,46.0,25.0,5.0,473.0,PHO,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,15.6
6,2013.0,Aaron Brooks,PG,G,28.0,6-0,183.0,161.0,73.0,67.0,30.0,10.0,80.0,13.0,114.0,376.0,143.0,316.0,0.45299999999999996,0.532,50.0,134.0,0.373,93.0,182.0,0.511,40.0,52.0,0.769,67.0,94.0,53.0,20.0,997.0,TOT,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,11.8
7,2013.0,Aaron Brooks,PG,G,28.0,6-0,183.0,161.0,73.0,66.0,29.0,7.0,78.0,12.0,108.0,366.0,139.0,303.0,0.45899999999999996,0.5379999999999999,48.0,127.0,0.37799999999999995,91.0,176.0,0.517,40.0,52.0,0.769,63.0,89.0,46.0,20.0,959.0,SAC,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,12.1
8,2013.0,Aaron Brooks,PG,G,28.0,6-0,183.0,161.0,73.0,1.0,1.0,3.0,2.0,1.0,6.0,10.0,4.0,13.0,0.308,0.385,2.0,7.0,0.28600000000000003,2.0,6.0,0.33299999999999996,0.0,0.0,,4.0,5.0,7.0,0.0,38.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,5.6
9,2014.0,Aaron Brooks,PG,G,29.0,6-0,183.0,161.0,73.0,97.0,52.0,13.0,140.0,43.0,233.0,645.0,233.0,581.0,0.401,0.484,96.0,248.0,0.387,137.0,333.0,0.41100000000000003,83.0,95.0,0.8740000000000001,117.0,146.0,72.0,12.0,1557.0,TOT,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,12.5
10,2014.0,Aaron Brooks,PG,G,29.0,6-0,183.0,161.0,73.0,39.0,25.0,6.0,62.0,23.0,83.0,299.0,104.0,263.0,0.395,0.498,54.0,132.0,0.409,50.0,131.0,0.382,37.0,44.0,0.841,51.0,76.0,43.0,0.0,716.0,HOU,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,11.9
11,2014.0,Aaron Brooks,PG,G,29.0,6-0,183.0,161.0,73.0,58.0,27.0,7.0,78.0,20.0,150.0,346.0,129.0,318.0,0.406,0.47200000000000003,42.0,116.0,0.36200000000000004,87.0,202.0,0.431,46.0,51.0,0.902,66.0,70.0,29.0,12.0,841.0,DEN,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,12.9
12,2015.0,Aaron Brooks,PG,G,30.0,6-0,183.0,161.0,73.0,134.0,54.0,15.0,166.0,32.0,261.0,954.0,344.0,817.0,0.42100000000000004,0.495,121.0,313.0,0.387,223.0,504.0,0.442,145.0,174.0,0.833,157.0,189.0,82.0,21.0,1885.0,CHI,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,14.4
13,2016.0,Aaron Brooks,PG,G,31.0,6-0,183.0,161.0,73.0,80.0,30.0,10.0,101.0,21.0,180.0,491.0,188.0,469.0,0.401,0.47100000000000003,66.0,185.0,0.35700000000000004,122.0,284.0,0.43,49.0,64.0,0.7659999999999999,82.0,132.0,69.0,0.0,1108.0,CHI,1985.0,"January 14, 1985",Seattle,Washington,University of Oregon,University of Oregon,11.8
