Player,Weight (lb),Height (cm),Weight (kg),Year,Age,Games,Games Started,Minutes Played,Player Efficiency Rating,True Shooting %,3-Point Attempt Rate,Free Throw Rate,Offensive Rebound Percentage,Defensive Rebound Percentage,Total Rebound Percentage,Assist Percentage,Steal Percentage,Block Percentage,Turnover Percentage,Usage Percentage,Offensive Win Shares,Defensive Win Shares,Win Shares,Win Shares Per 48 Minutes,Offensive Box Plus/Minus,Defensive Box Plus/Minus,Box Plus/Minus,Value Over Replacement,Field Goals,Field Goal Attempts,Field Goal Percentage,3-Point Field Goals,3-Point Field Goal Attempts,3-Point Field Goal Percentage,2-Point Field Goals,2-Point Field Goal Attempts,2-Point Field Goal Percentage,Effective Field Goal Percentage,Free Throws,Free Throw Attempts,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Team Rank,Years Played
A.C. Green,220.0,203.0,106.0,1993.888888888889,29.88888888888889,75.61111111111111,50.27777777777778,2169.1111111111113,13.872222222222224,0.5435555555555555,0.04900000000000001,0.4371111111111111,10.38888888888889,18.811111111111114,14.655555555555559,5.216666666666666,1.4388888888888889,0.85,11.488888888888889,14.405555555555557,3.372222222222222,2.416666666666666,5.78888888888889,0.12211111111111111,-0.5055555555555556,0.4222222222222222,-0.08333333333333338,1.2777777777777777,265.44444444444446,538.1111111111111,0.4876666666666666,6.944444444444445,28.27777777777778,0.1468333333333333,258.5,509.8333333333333,0.5018888888888888,0.4931666666666666,180.38888888888889,247.05555555555554,0.7080555555555555,198.66666666666666,364.05555555555554,562.7222222222222,81.61111111111111,61.27777777777778,31.22222222222222,83.77777777777777,143.38888888888889,718.2222222222222,10.764705882352942,15.0
A.J. Bramlett,227.0,196.0,88.0,2000.0,23.0,8.0,0.0,61.0,-0.4,0.19,0.0,0.0,21.7,18.5,20.1,0.0,0.8,0.0,12.5,17.1,-0.2,0.1,-0.2,-0.129,-10.5,-6.3,-16.8,-0.2,4.0,21.0,0.19,0.0,0.0,,4.0,21.0,0.19,0.19,0.0,0.0,,12.0,10.0,22.0,0.0,1.0,0.0,3.0,13.0,8.0,18.0,0.0
A.J. English,175.0,196.0,95.0,1991.5,23.5,75.5,9.0,1554.0,11.55,0.48,0.047,0.241,4.9,6.25,5.55,15.85,0.9,0.44999999999999996,11.95,23.700000000000003,-0.2,0.7,0.55,0.0165,-2.25,-2.8499999999999996,-5.1,-1.2,308.5,709.0,0.436,4.5,32.5,0.1365,304.0,676.5,0.45049999999999996,0.4385,129.5,166.5,0.774,70.0,87.5,157.5,160.0,28.5,12.0,101.5,143.5,751.0,20.5,1.0
A.J. Guyton,180.0,208.0,99.0,2002.0,23.0,26.666666666666668,4.666666666666667,415.3333333333333,4.366666666666667,0.324,0.371,0.06833333333333334,1.3666666666666665,3.7999999999999994,2.533333333333333,23.46666666666667,2.466666666666667,0.5,14.433333333333332,20.766666666666666,0.10000000000000002,-0.03333333333333333,0.09999999999999999,-0.14133333333333334,-6.066666666666666,-4.933333333333334,-11.0,-0.3333333333333333,55.333333333333336,146.66666666666666,0.25566666666666665,24.333333333333332,64.33333333333333,0.255,31.0,82.33333333333333,0.254,0.3106666666666667,12.333333333333334,15.0,0.824,7.333333333333333,19.333333333333332,26.666666666666668,49.0,6.666666666666667,4.0,20.666666666666668,19.333333333333332,147.33333333333334,19.666666666666668,2.0
A.J. Hammons,260.0,198.0,99.0,2017.0,24.0,22.0,0.0,163.0,8.4,0.47200000000000003,0.23800000000000002,0.47600000000000003,5.4,20.9,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0.0,-0.001,-7.5,1.9,-5.6,-0.1,17.0,42.0,0.405,5.0,10.0,0.5,12.0,32.0,0.375,0.46399999999999997,9.0,20.0,0.45,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,48.0,30.0,0.0
A.J. Price,181.0,213.0,124.0,2013.3333333333333,26.333333333333332,31.88888888888889,2.7777777777777777,472.55555555555554,10.388888888888891,0.435,0.456,0.1568888888888889,1.9888888888888887,9.200000000000001,5.577777777777778,22.733333333333334,1.2777777777777777,0.08888888888888889,10.977777777777778,20.83333333333333,0.1222222222222222,0.41111111111111115,0.5555555555555556,0.021444444444444447,-1.511111111111111,-2.6555555555555554,-4.144444444444444,-0.05555555555555555,66.66666666666667,175.66666666666666,0.3552222222222222,25.88888888888889,83.0,0.24288888888888888,40.77777777777778,92.66666666666667,0.44466666666666665,0.4121111111111111,24.77777777777778,33.666666666666664,0.63225,8.222222222222221,37.22222222222222,45.44444444444444,68.11111111111111,14.666666666666666,1.0,27.0,28.0,184.0,14.5,5.0
A.J. Wynder,180.0,190.0,83.0,1991.0,26.0,6.0,0.0,39.0,7.6,0.387,0.083,0.667,3.1,5.2,4.2,24.0,1.3,0.0,20.5,21.1,-0.1,0.0,0.0,-0.051,-5.9,-3.5,-9.4,-0.1,3.0,12.0,0.25,0.0,1.0,0.0,3.0,11.0,0.273,0.25,6.0,8.0,0.75,1.0,2.0,3.0,8.0,1.0,0.0,4.0,1.0,12.0,6.0,0.0
A.W. Holt,210.0,206.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Aaron Brooks,161.0,183.0,73.0,2012.6,27.6,53.13333333333333,15.066666666666666,1139.2,12.326666666666664,0.5122666666666666,0.42173333333333335,0.18066666666666664,2.2399999999999998,6.46,4.353333333333334,23.84,1.4000000000000001,0.88,15.49333333333333,22.15333333333333,0.8733333333333333,0.6600000000000001,1.5466666666666669,0.05233333333333333,-0.0999999999999999,-2.473333333333333,-2.566666666666666,0.02666666666666667,188.6,459.53333333333336,0.4031333333333334,68.33333333333333,187.0,0.3544666666666666,120.26666666666667,272.53333333333336,0.4370666666666666,0.47766666666666674,77.06666666666666,91.4,0.838,21.533333333333335,69.13333333333334,90.66666666666667,165.66666666666666,31.266666666666666,7.533333333333333,84.8,102.93333333333334,522.6,10.666666666666666,10.0
Aaron Gordon,220.0,206.0,99.0,2016.0,20.0,68.33333333333333,39.0,1652.6666666666667,14.266666666666666,0.5293333333333333,0.26166666666666666,0.29233333333333333,6.900000000000001,17.733333333333334,12.233333333333334,9.033333333333333,1.4333333333333333,2.0,10.466666666666667,17.633333333333336,1.8333333333333333,1.5333333333333334,3.366666666666667,0.09166666666666667,-0.7999999999999999,0.26666666666666666,-0.5666666666666665,0.7999999999999999,253.33333333333334,550.6666666666666,0.45799999999999996,44.0,152.33333333333334,0.28500000000000003,209.33333333333334,398.3333333333333,0.5196666666666667,0.49533333333333335,109.66666666666667,157.0,0.7026666666666667,105.33333333333333,255.0,360.3333333333333,103.66666666666667,48.0,39.0,64.33333333333333,136.0,660.3333333333334,23.333333333333332,3.0
