Player,Weight (kg),Height (cm),Age,Years Played,Player Efficiency Rating,True Shooting %,Assist Percentage,Block Percentage,Steal Percentage,Total Rebound Percentage,Win Shares,3-Point Field Goal Percentage,2-Point Field Goal Percentage,Free Throw Percentage,Turnovers,Personal Fouls,Points,Total Rebounds,Steals,Win Shares Per 48 Minutes
A.C. Green,106.0,203.0,29.88888888888889,15.0,13.872222222222224,0.5435555555555555,5.216666666666666,0.85,1.4388888888888889,14.655555555555559,5.78888888888889,0.1468333333333333,0.5018888888888888,0.7080555555555555,83.77777777777777,143.38888888888889,718.2222222222222,562.7222222222222,61.27777777777778,0.12211111111111111
A.J. English,95.0,196.0,23.5,1.0,11.55,0.48,15.85,0.44999999999999996,0.9,5.55,0.55,0.1365,0.45049999999999996,0.774,101.5,143.5,751.0,157.5,28.5,0.0165
A.J. Guyton,99.0,208.0,23.0,2.0,4.366666666666667,0.324,23.46666666666667,0.5,2.466666666666667,2.533333333333333,0.09999999999999999,0.255,0.254,0.824,20.666666666666668,19.333333333333332,147.33333333333334,26.666666666666668,6.666666666666667,-0.14133333333333334
A.J. Price,124.0,213.0,26.333333333333332,5.0,10.388888888888891,0.435,22.733333333333334,0.08888888888888889,1.2777777777777777,5.577777777777778,0.5555555555555556,0.24288888888888888,0.44466666666666665,0.63225,27.0,28.0,184.0,45.44444444444444,14.666666666666666,0.021444444444444447
Aaron Brooks,73.0,183.0,27.6,10.0,12.326666666666664,0.5122666666666666,23.84,0.88,1.4000000000000001,4.353333333333334,1.5466666666666669,0.3544666666666666,0.4370666666666666,0.838,84.8,102.93333333333334,522.6,90.66666666666667,31.266666666666666,0.05233333333333333
Aaron Gordon,99.0,206.0,20.0,3.0,14.266666666666666,0.5293333333333333,9.033333333333333,2.0,1.4333333333333333,12.233333333333334,3.366666666666667,0.28500000000000003,0.5196666666666667,0.7026666666666667,64.33333333333333,136.0,660.3333333333334,360.3333333333333,48.0,0.09166666666666667
Aaron Gray,122.0,213.0,26.363636363636363,6.0,10.9,0.5249999999999999,10.0,1.6181818181818182,1.1181818181818182,18.6,0.6454545454545454,0.0,0.5105454545454545,0.5599999999999999,28.545454545454547,72.36363636363636,112.27272727272727,127.9090909090909,10.272727272727273,0.06472727272727273
Aaron Harrison,95.0,198.0,21.5,1.0,1.0499999999999998,0.2365,12.8,0.0,1.6,9.25,-0.05,0.15,0.111,0.4585,2.0,6.0,9.5,9.0,3.0,-0.07999999999999999
Aaron McKie,94.0,196.0,27.176470588235293,12.0,11.447058823529412,0.49305882352941177,16.58823529411765,0.6470588235294119,2.523529411764706,8.041176470588237,2.641176470588235,0.30175,0.44764705882352934,0.75575,72.05882352941177,110.70588235294117,390.3529411764706,178.76470588235293,64.11764705882354,0.08664705882352941
Aaron Williams,99.0,206.0,29.75,14.0,11.120000000000001,0.5322499999999999,5.154999999999999,3.9050000000000002,1.1650000000000003,13.929999999999996,1.585,0.03027272727272727,0.4889500000000001,0.7170526315789474,37.1,101.5,230.9,158.7,16.0,0.04565000000000001
