,Year,Team Name,Team Abbreviation,Rank
0,1982,Denver Nuggets,DEN,1
1,1982,Los Angeles Lakers,LAL,2
2,1982,San Antonio Spurs,SAS,3
3,1982,Boston Celtics,BOS,4
4,1982,Philadelphia 76ers,PHI,5
5,1982,Detroit Pistons,DET,6
6,1982,Utah Jazz,UTA,7
7,1982,Golden State Warriors,GSW,8
8,1982,Portland Trail Blazers,POR,9
9,1982,San Diego Clippers,SDC,10
10,1982,Milwaukee Bucks,MIL,11
11,1982,Seattle SuperSonics,SEA,12
12,1982,Kansas City Kings,KCK,13
13,1982,New Jersey Nets,NJN,14
14,1982,Chicago Bulls,CHI,15
15,1982,New York Knicks,NYK,16
16,1982,Phoenix Suns,PHO,17
17,1982,Houston Rockets,HOU,18
18,1982,Dallas Mavericks,DAL,19
19,1982,Washington Bullets,WSB,20
20,1982,Cleveland Cavaliers,CLE,21
21,1982,Indiana Pacers,IND,22
22,1982,Atlanta Hawks,ATL,23
23,1983,Denver Nuggets,DEN,1
24,1983,Los Angeles Lakers,LAL,2
25,1983,San Antonio Spurs,SAS,3
26,1983,Kansas City Kings,KCK,4
27,1983,Dallas Mavericks,DAL,5
28,1983,Detroit Pistons,DET,6
29,1983,Boston Celtics,BOS,7
30,1983,Philadelphia 76ers,PHI,8
31,1983,Chicago Bulls,CHI,9
32,1983,Seattle SuperSonics,SEA,10
33,1983,Utah Jazz,UTA,11
34,1983,Indiana Pacers,IND,12
35,1983,Golden State Warriors,GSW,13
36,1983,San Diego Clippers,SDC,14
37,1983,Portland Trail Blazers,POR,15
38,1983,Phoenix Suns,PHO,16
39,1983,Milwaukee Bucks,MIL,17
40,1983,New Jersey Nets,NJN,18
41,1983,Atlanta Hawks,ATL,19
42,1983,New York Knicks,NYK,20
43,1983,Houston Rockets,HOU,21
44,1983,Washington Bullets,WSB,22
45,1983,Cleveland Cavaliers,CLE,23
46,1984,Denver Nuggets,DEN,1
47,1984,San Antonio Spurs,SAS,2
48,1984,Detroit Pistons,DET,3
49,1984,Los Angeles Lakers,LAL,4
50,1984,Utah Jazz,UTA,5
51,1984,Portland Trail Blazers,POR,6
52,1984,Boston Celtics,BOS,7
53,1984,Phoenix Suns,PHO,8
54,1984,San Diego Clippers,SDC,9
55,1984,Houston Rockets,HOU,10
56,1984,Dallas Mavericks,DAL,11
57,1984,Kansas City Kings,KCK,12
58,1984,New Jersey Nets,NJN,13
59,1984,Golden State Warriors,GSW,14
60,1984,Seattle SuperSonics,SEA,15
61,1984,Philadelphia 76ers,PHI,16
62,1984,New York Knicks,NYK,17
63,1984,Milwaukee Bucks,MIL,18
64,1984,Indiana Pacers,IND,19
65,1984,Chicago Bulls,CHI,20
66,1984,Washington Bullets,WSB,21
67,1984,Cleveland Cavaliers,CLE,22
68,1984,Atlanta Hawks,ATL,23
69,1985,Denver Nuggets,DEN,1
70,1985,Los Angeles Lakers,LAL,2
71,1985,Detroit Pistons,DET,3
72,1985,Portland Trail Blazers,POR,4
73,1985,Kansas City Kings,KCK,5
74,1985,Boston Celtics,BOS,6
75,1985,San Antonio Spurs,SAS,7
76,1985,Philadelphia 76ers,PHI,8
77,1985,Houston Rockets,HOU,9
78,1985,Dallas Mavericks,DAL,10
79,1985,Milwaukee Bucks,MIL,11
80,1985,Golden State Warriors,GSW,12
81,1985,New Jersey Nets,NJN,13
82,1985,Utah Jazz,UTA,14
83,1985,Chicago Bulls,CHI,15
